animal_id,animal_no,scientific_name,common_name_it,common_name_en,iucn_assessment_id,iucn_lookup_status,habitat_code,habitat_name_it,habitat_suitability,major_importance,seasonality,elevation_lower_m,elevation_upper_m,depth_upper_m,depth_lower_m
1,001,Anax Imperator,Libellula Imperatore,Emperor Dragonfly,72311295,ok,5.9,Zone umide (interne) – Sorgenti di acqua dolce e oasi,suitable,no,unknown,,,,
1,001,Anax Imperator,Libellula Imperatore,Emperor Dragonfly,72311295,ok,5.7,Zone umide (interne) – Paludi/stagni d'acqua dolce permanenti (inferiori a 8 ettari),suitable,yes,unknown,,,,
1,001,Anax Imperator,Libellula Imperatore,Emperor Dragonfly,72311295,ok,5.6,Zone umide (interne) – Laghi d'acqua dolce stagionali/intermittenti (oltre 8 ha),suitable,no,unknown,,,,
1,001,Anax Imperator,Libellula Imperatore,Emperor Dragonfly,72311295,ok,5.5,Zone umide (interne) – Laghi permanenti di acqua dolce (oltre 8 ettari),suitable,yes,unknown,,,,
1,001,Anax Imperator,Libellula Imperatore,Emperor Dragonfly,72311295,ok,5.2,Zone umide (interne) – Fiumi/torrenti/canali stagionali/intermittenti/irregolari,suitable,no,unknown,,,,
1,001,Anax Imperator,Libellula Imperatore,Emperor Dragonfly,72311295,ok,15.2,Stagni sotto gli 8 ettari,suitable,no,unknown,,,,
1,001,Anax Imperator,Libellula Imperatore,Emperor Dragonfly,72311295,ok,15.1,Aree di stoccaggio dell'acqua oltre 8 ettari,marginal,unknown,unknown,,,,
2,002,Passer Domesticus,Passero Comune,House Sparrow,155522130,ok,1.5,Foresta – Subtropicale/tropicale secca,suitable,no,resident,,4500.0,,
2,002,Passer Domesticus,Passero Comune,House Sparrow,155522130,ok,6,Zone rocciose,suitable,no,resident,,4500.0,,
2,002,Passer Domesticus,Passero Comune,House Sparrow,155522130,ok,1.4,Foresta – Temperata,suitable,no,resident,,4500.0,,
2,002,Passer Domesticus,Passero Comune,House Sparrow,155522130,ok,5.4,"Zone umide (interne) – Paludi, acquitrini, torbiere",suitable,no,resident,,4500.0,,
2,002,Passer Domesticus,Passero Comune,House Sparrow,155522130,ok,5.1,Zone umide (interne) – Fiumi/torrenti/cascate permanenti,suitable,no,resident,,4500.0,,
2,002,Passer Domesticus,Passero Comune,House Sparrow,155522130,ok,4.5,Prateria – Subtropicale/tropicale arida,suitable,no,resident,,4500.0,,
2,002,Passer Domesticus,Passero Comune,House Sparrow,155522130,ok,14.1,Terreno arabile,suitable,no,resident,,4500.0,,
2,002,Passer Domesticus,Passero Comune,House Sparrow,155522130,ok,14.2,Pascoli,suitable,no,resident,,4500.0,,
2,002,Passer Domesticus,Passero Comune,House Sparrow,155522130,ok,14.3,Piantagioni,suitable,no,resident,,4500.0,,
2,002,Passer Domesticus,Passero Comune,House Sparrow,155522130,ok,14.4,Orti rurali,suitable,no,resident,,4500.0,,
2,002,Passer Domesticus,Passero Comune,House Sparrow,155522130,ok,14.5,Aree urbane,suitable,yes,resident,,4500.0,,
2,002,Passer Domesticus,Passero Comune,House Sparrow,155522130,ok,14.6,Foresta subtropicale/tropicale fortemente degradata,suitable,no,resident,,4500.0,,
2,002,Passer Domesticus,Passero Comune,House Sparrow,155522130,ok,15.7,"Terreni irrigati, compresi i canali di irrigazione",suitable,no,resident,,4500.0,,
2,002,Passer Domesticus,Passero Comune,House Sparrow,155522130,ok,3.4,Arbusti – Temperati,suitable,no,resident,,4500.0,,
2,002,Passer Domesticus,Passero Comune,House Sparrow,155522130,ok,3.5,Arbusti – Zona secca subtropicale/tropicale,suitable,no,resident,,4500.0,,
2,002,Passer Domesticus,Passero Comune,House Sparrow,155522130,ok,3.6,Arbusti – Subtropicale/tropicale umido,suitable,no,resident,,4500.0,,
2,002,Passer Domesticus,Passero Comune,House Sparrow,155522130,ok,3.8,Arbusti – Vegetazione arbustiva di tipo mediterraneo,suitable,no,resident,,4500.0,,
2,002,Passer Domesticus,Passero Comune,House Sparrow,155522130,ok,4.4,Prateria – Temperata,suitable,no,resident,,4500.0,,
3,003,Podarcis Muralis,Lucertola Muraiola,Common Wall Lizard,12514105,ok,3.4,Arbusti – Temperati,suitable,unknown,unknown,0.0,2500.0,,
3,003,Podarcis Muralis,Lucertola Muraiola,Common Wall Lizard,12514105,ok,14.3,Piantagioni,suitable,unknown,unknown,0.0,2500.0,,
3,003,Podarcis Muralis,Lucertola Muraiola,Common Wall Lizard,12514105,ok,14.2,Pascoli,suitable,unknown,unknown,0.0,2500.0,,
3,003,Podarcis Muralis,Lucertola Muraiola,Common Wall Lizard,12514105,ok,3.8,Arbusti – Vegetazione arbustiva di tipo mediterraneo,suitable,unknown,unknown,0.0,2500.0,,
3,003,Podarcis Muralis,Lucertola Muraiola,Common Wall Lizard,12514105,ok,14.1,Terreno arabile,marginal,unknown,unknown,0.0,2500.0,,
3,003,Podarcis Muralis,Lucertola Muraiola,Common Wall Lizard,12514105,ok,1.4,Foresta – Temperata,suitable,unknown,unknown,0.0,2500.0,,
3,003,Podarcis Muralis,Lucertola Muraiola,Common Wall Lizard,12514105,ok,6,Zone rocciose,suitable,unknown,unknown,0.0,2500.0,,
